Title,IMDBScore
"David Attenborough: A Life on Our Planet",9
"Emicida: AmarElo - It's All For Yesterday",8.6
"Springsteen on Broadway",8.5
"Ben Platt: Live from Radio City Music Hall",8.4
"Taylor Swift: Reputation Stadium Tour",8.4
"Winter on Fire: Ukraine's Fight for Freedom",8.4
"Cuba and the Cameraman",8.3
"Dancing with the Birds",8.3
13th,8.2
"Disclosure: Trans Lives on Screen",8.2
Klaus,8.2
Seaspiracy,8.2
"The Three Deaths of Marisela Escobedo",8.2
"Chasing Coral",8.1
"My Octopus Teacher",8.1
"Rising Phoenix",8.1
"Struggle: The Life and Lost Art of Szukaiski",8
"A Secret Love",7.9
Icarus,7.9
"Marriage Story",7.9
"The Ivory Game",7.9
"If Anything Happens I Love You",7.8
"The Irishman",7.8
"The Trial of the Chicago 7",7.8
Anima,7.7
"Beasts of No Nation",7.7
"Brene Brown: The Call to Courage",7.7
"Crip Camp: A Disability Revolution",7.7
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",7.7
"Justin Timberlake + The Tennessee Kids",7.7
"Road to Roma",7.7
Roma,7.7
"Athlete A",7.6
Ludo,7.6
Quincy,7.6
"Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere",7.6
"Tell Me Who I Am",7.6
"The Bleeding Edge",7.6
"The Social Dilemma",7.6
"The Two Popes",7.6
"What Happened, Miss Simone?",7.6
"Yeh Ballet",7.6
"Barbra: The Music, The Mem'ries, The Magic!",7.5
"Blackpink: Light Up the Sky",7.5
"City of Joy",7.5
"Dick Johnson Is Dead",7.5
"Homecoming: A Film by Beyonce",7.5
"Invader Zim: Enter the Florpus",7.5
"Joan Didion: The Center Will Not Hold",7.5
"John Mulaney & the Sack Lunch Bunch",7.5
"Reversing Roe",7.5
"The White Helmets",7.5
"American Factory",7.4
"Fire in Paradise",7.4
"Long Shot",7.4
"Miss Americana",7.4
"Period. End of Sentence.",7.4
"Shawn Mendes: Live in Concert",7.4
Shirkers,7.4
"The Black Godfather",7.4
"The Irishman: In Conversation",7.4
"The Speed Cubers",7.4
"They'll Love Me When I'm Dead",7.4
Tig,7.4
"Dolemite Is My Name",7.3
"El Camino: A Breaking Bad Movie",7.3
Extremis,7.3
"Father Soldier Son",7.3
"Get Me Roger Stone",7.3
"I'm No Longer Here",7.3
"Mucho Mucho Amor: The Legend of Walter Mercado",7.3
"Octonauts & the Great Barrier Reef",7.3
Okja,7.3
"On My Skin",7.3
"Raat Akeli Hai",7.3
"ReMastered: Massacre at the Stadium",7.3
