Title,Genre,IMDBScore,Rank_Within_Genre
Okja,Action,7.3,1
"The Siege of Jadotville",Action,7.2,2
Extraction,Action,6.7,3
"The Old Guard",Action,6.7,3
"Mowgli: Legend of the Jungle",Action,6.5,5
Polar,Action,6.3,6
"Sand Castle",Action,6.3,6
"Spenser Confidential",Action,6.2,8
"6 Underground",Action,6.1,9
Ultras,Action,5.9,10
"True Memoirs of an International Assassin",Action,5.9,10
"Point Blank",Action,5.7,12
"The Do-Over",Action,5.7,12
"Game Over, Man!",Action,5.4,14
"How It Ends",Action,5,15
"Earth and Blood",Action,4.9,16
"We Can Be Heroes",Action,4.7,17
Sentinelle,Action,4.7,17
"All Because of You",Action,4.2,19
Drive,Action,3.5,20
Klaus,Anime,8.2,1
"If Anything Happens I Love You",Anime,7.8,2
"Road to Roma",Anime,7.7,3
"Invader Zim: Enter the Florpus",Anime,7.5,4
"Octonauts & the Great Barrier Reef",Anime,7.3,5
"Sitara: Let Girls Dream",Anime,7.3,5
"The Road to El Camino: A Breaking Bad Movie",Anime,7.2,7
"Angela's Christmas Wish",Anime,7.1,8
"Angela's Christmas",Anime,7.1,8
"Rocko's Modern Life: Static Cling",Anime,7,10
"Cops and Robbers",Anime,6.9,11
Blame!,Anime,6.7,12
"A Whisker Away",Anime,6.7,12
"Arlo the Alligator Boy",Anime,6.7,12
"Altered Carbon: Resleeved",Anime,6.5,15
Canvas,Anime,6.5,15
"Sturgill Simpson Presents: Sound & Fury",Anime,6.4,17
"The Willoughbys",Anime,6.4,17
"Over the Moon",Anime,6.4,17
"Octonauts & the Caves of Sac Actun",Anime,6.2,20
"The Claus Family",Anime,5.8,21
"The Larva Island Movie",Anime,5.1,22
Fearless,Anime,4.9,23
"Sol Levante",Anime,4.7,24
"Dolemite Is My Name",Biopic,7.3,1
"The Dirt",Biopic,7,2
Mank,Biopic,6.9,3
"A Futile and Stupid Gesture",Biopic,6.8,4
"Baggio: The Divine Ponytail",Biopic,6.2,5
"Roxanne Roxanne",Biopic,6.2,5
Sergio,Biopic,6.1,7
"The Most Hated Woman in America",Biopic,6.1,7
